2016-08-26, California, Hawaii, 51, 31, N
2016-08-27, California, Hawaii, 51, 31, N
2016-09-01, Central Michigan, Presbyterian, 49, 3, vs
2016-09-01, Cincinnati, Tennessee-Martin, 28, 7, vs
2016-09-01, Connecticut, Maine, 24, 21, vs
2016-09-01, Idaho, Montana State, 20, 17, vs
2016-09-01, Indiana, Florida International, 34, 13, @
2016-09-01, (19) Louisville, Charlotte, 70, 14, vs
2016-09-01, Minnesota, Oregon State, 30, 23, vs
2016-09-01, Nevada-Las Vegas, Jackson State, 63, 13, vs
2016-09-01, New Mexico, South Dakota, 48, 21, vs
2016-09-01, North Carolina State, William & Mary, 48, 14, vs
2016-09-01, South Carolina, Vanderbilt, 13, 10, @
2016-09-01, (9) Tennessee, Appalachian State, 20, 13, vs
2016-09-01, Utah, Southern Utah, 24, 0, vs
2016-09-01, Utah State, Weber State, 45, 6, vs
2016-09-01, Wake Forest, Tulane, 7, 3, vs
2016-09-01, Western Kentucky, Rice, 46, 14, vs
2016-09-02, Albany, Buffalo, 22, 16, @
2016-09-02, Army, Temple, 28, 13, @
2016-09-02, Ball State, Georgia State, 31, 21, @
2016-09-02, (23) Baylor, Northwestern State, 55, 7, vs
2016-09-02, Colorado, Colorado State, 44, 7, N
2016-09-02, Eastern Michigan, Mississippi Valley State, 61, 14, vs
2016-09-02, (12) Michigan State, Furman, 28, 13, vs
2016-09-02, Nevada, Cal Poly, 30, 27, vs
2016-09-02, (8) Stanford, Kansas State, 26, 13, vs
2016-09-02, Syracuse, Colgate, 33, 7, vs
2016-09-02, Toledo, Arkansas State, 31, 10, @
2016-09-03, Air Force, Abilene Christian, 37, 21, vs
2016-09-03, Akron, Virginia Military Institute, 47, 24, vs
2016-09-03, (1) Alabama, (20) Southern California, 52, 6, N
2016-09-03, Arizona State, Northern Arizona, 44, 13, vs
2016-09-03, Arkansas, Louisiana Tech, 21, 20, vs
2016-09-03, Boise State, Louisiana, 45, 10, @
2016-09-03, Brigham Young, Arizona, 18, 16, N
2016-09-03, Central Florida, South Carolina State, 38, 0, vs
2016-09-03, (2) Clemson, Auburn, 19, 13, @
